File	Velocity(km/s)	Velocity_error(km/s)	Sigma(km/s)	Sigma_error(km/s)	h3	h3_error	h4	h4_error
spectrum_xpos_00_ypos_00_fiber_number_0001_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_00_ypos_01_fiber_number_0002_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_00_ypos_02_fiber_number_0003_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_00_ypos_03_fiber_number_0004_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_00_ypos_04_fiber_number_0005_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_00_ypos_05_fiber_number_0006_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_00_ypos_06_fiber_number_0007_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_07_fiber_number_0008_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_08_fiber_number_0009_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_09_fiber_number_0010_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_10_fiber_number_0011_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_11_fiber_number_0012_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_12_fiber_number_0013_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_13_fiber_number_0014_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_14_fiber_number_0015_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_00_ypos_15_fiber_number_0016_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_16_fiber_number_0017_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_17_fiber_number_0018_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_18_fiber_number_0019_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_19_fiber_number_0020_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_20_fiber_number_0021_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_21_fiber_number_0022_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_22_fiber_number_0023_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_00_ypos_23_fiber_number_0024_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_24_fiber_number_0025_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_25_fiber_number_0026_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_26_fiber_number_0027_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_27_fiber_number_0028_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_28_fiber_number_0029_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_29_fiber_number_0030_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_30_fiber_number_0031_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_31_fiber_number_0032_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_00_ypos_32_fiber_number_0033_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_33_fiber_number_0034_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_34_fiber_number_0035_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_35_fiber_number_0036_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_36_fiber_number_0037_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_37_fiber_number_0038_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_38_fiber_number_0039_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_39_fiber_number_0040_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_40_fiber_number_0041_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_41_fiber_number_0042_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_00_ypos_42_fiber_number_0043_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_00_fiber_number_0044_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_01_ypos_01_fiber_number_0045_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_01_ypos_02_fiber_number_0046_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_01_ypos_03_fiber_number_0047_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_01_ypos_04_fiber_number_0048_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_01_ypos_05_fiber_number_0049_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_01_ypos_06_fiber_number_0050_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_07_fiber_number_0051_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_08_fiber_number_0052_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_09_fiber_number_0053_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_10_fiber_number_0054_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_11_fiber_number_0055_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_12_fiber_number_0056_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_13_fiber_number_0057_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_14_fiber_number_0058_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_01_ypos_15_fiber_number_0059_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_16_fiber_number_0060_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_01_ypos_17_fiber_number_0061_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
